;x,z,nmann,xutm,yutm,AngMd,AngMi,Q
15750.000,-0.895,0.030,764536.535,4144636.047,2.978,-0.164,20.000
15800.000,-0.905,0.030,764528.392,4144586.715,2.978,-0.164,20.000
15850.000,-0.915,0.030,764520.248,4144537.382,2.978,-0.164,20.000
15900.000,-0.927,0.030,764512.105,4144488.050,2.978,-0.164,20.000
15950.000,-0.941,0.030,764503.961,4144438.718,2.978,-0.164,20.000
16000.000,-0.955,0.030,764495.817,4144389.385,2.978,-0.164,20.000
16050.000,-0.971,0.030,764487.674,4144340.053,2.978,-0.164,20.000
16100.000,-0.988,0.030,764479.530,4144290.721,2.978,-0.164,20.000
16150.000,-1.006,0.030,764471.387,4144241.388,2.978,-0.164,20.000
16200.000,-1.026,0.030,764463.243,4144192.056,2.978,-0.164,20.000
16250.000,-1.045,0.030,764455.100,4144142.723,2.978,-0.164,20.000
16300.000,-1.064,0.030,764446.956,4144093.391,2.978,-0.164,20.000
16350.000,-1.084,0.030,764438.812,4144044.059,2.978,-0.164,20.000
16400.000,-1.103,0.030,764430.669,4143994.726,2.978,-0.164,20.000
16450.000,-1.122,0.030,764422.525,4143945.394,2.978,-0.164,20.000
16500.000,-1.142,0.030,764414.382,4143896.062,2.976,-0.166,20.000
16550.000,-1.161,0.030,764406.130,4143846.748,2.957,-0.185,20.000
16600.000,-1.180,0.030,764396.942,4143797.600,2.956,-0.186,20.000
16650.000,-1.200,0.030,764387.694,4143748.462,2.956,-0.186,20.000
16700.000,-1.219,0.030,764378.447,4143699.325,2.956,-0.186,20.000
16750.000,-1.238,0.030,764369.200,4143650.187,2.943,-0.199,20.000
16800.000,-1.257,0.030,764359.323,4143601.176,2.933,-0.208,20.000
16850.000,-1.277,0.030,764348.989,4143552.255,2.933,-0.208,20.000
16900.000,-1.296,0.030,764338.643,4143503.337,2.933,-0.208,20.000
16950.000,-1.317,0.030,764328.296,4143454.420,2.933,-0.208,20.000
17000.000,-1.363,0.030,764317.950,4143405.502,2.933,-0.208,20.000
17050.000,-1.434,0.030,764307.603,4143356.584,2.933,-0.208,20.000
17100.000,-1.530,0.030,764297.257,4143307.666,2.933,-0.208,20.000
17150.000,-1.651,0.030,764286.910,4143258.748,2.933,-0.208,20.000
17200.000,-1.797,0.030,764276.564,4143209.831,2.933,-0.208,20.000
17250.000,-1.968,0.030,764266.217,4143160.913,2.933,-0.208,20.000
17300.000,-2.164,0.030,764255.871,4143111.995,2.933,-0.208,20.000
17350.000,-2.385,0.030,764245.524,4143063.077,2.933,-0.208,20.000
17400.000,-2.631,0.030,764235.178,4143014.159,2.933,-0.208,20.000
17450.000,-2.903,0.030,764224.831,4142965.242,2.933,-0.208,20.000
17500.000,-3.199,0.030,764214.485,4142916.324,2.933,-0.208,20.000
17550.000,-3.520,0.030,764204.138,4142867.406,2.933,-0.208,20.000
17600.000,-3.866,0.030,764193.792,4142818.488,2.933,-0.208,20.000
17650.000,-4.237,0.030,764183.445,4142769.570,2.933,-0.208,20.000
17700.000,-4.620,0.030,764173.099,4142720.653,2.933,-0.208,20.000
17750.000,-5.006,0.030,764162.752,4142671.735,2.933,-0.208,20.000
17800.000,-5.395,0.030,764152.406,4142622.817,2.933,-0.208,20.000
17850.000,-5.787,0.030,764142.059,4142573.899,2.933,-0.208,20.000
17900.000,-6.183,0.030,764131.713,4142524.981,2.933,-0.208,20.000
17950.000,-6.583,0.030,764121.367,4142476.064,2.933,-0.208,20.000
18000.000,-6.984,0.030,764111.020,4142427.146,2.933,-0.208,20.000
18050.000,-7.359,0.030,764100.674,4142378.228,2.933,-0.208,20.000
18100.000,-7.703,0.030,764090.327,4142329.310,2.933,-0.208,20.000
18150.000,-8.016,0.030,764079.981,4142280.392,2.933,-0.208,20.000
