;time, elevation
2419200.000, -0.150
2422800.000, -0.130
2426400.000, -0.100
2430000.000, -0.060
2433600.000, -0.030
2437200.000, 0.020
2440800.000, 0.060
2444400.000, 0.100
2448000.000, 0.100
2451600.000, 0.070
2455200.000, 0.020
2458800.000, -0.020
2462400.000, -0.040
2466000.000, -0.040
2469600.000, -0.020
2473200.000, 0.000
2476800.000, 0.020
2480400.000, 0.040
2484000.000, 0.060
2487600.000, 0.090
2491200.000, 0.080
2494800.000, 0.050
2498400.000, -0.000
2502000.000, -0.060
2505600.000, -0.110
2509200.000, -0.120
2512800.000, -0.110
2516400.000, -0.090
2520000.000, -0.060
2523600.000, -0.030
2527200.000, 0.010
2530800.000, 0.050
2534400.000, 0.090
2538000.000, 0.100
2541600.000, 0.080
2545200.000, 0.040
2548800.000, -0.000
2552400.000, -0.030
2556000.000, -0.030
2559600.000, -0.020
2563200.000, -0.010
2566800.000, -0.000
2570400.000, 0.010
2574000.000, 0.040
2577600.000, 0.070
2581200.000, 0.080
2584800.000, 0.050
2588400.000, 0.010
2592000.000, -0.050
2595600.000, -0.090
2599200.000, -0.100
2602800.000, -0.100
2606400.000, -0.090
2610000.000, -0.070
2613600.000, -0.040
2617200.000, 0.010
2620800.000, 0.060
2624400.000, 0.100
2628000.000, 0.110
2631600.000, 0.090
2635200.000, 0.050
2638800.000, 0.000
2642400.000, -0.030
2646000.000, -0.040
2649600.000, -0.040
2653200.000, -0.040
2656800.000, -0.030
2660400.000, -0.010
2664000.000, 0.030
2667600.000, 0.070
2671200.000, 0.080
2674800.000, 0.060
2678400.000, 0.020
2682000.000, -0.040
2685600.000, -0.080
2689200.000, -0.100
2692800.000, -0.100
2696400.000, -0.090
2700000.000, -0.070
2703600.000, -0.040
2707200.000, 0.020
2710800.000, 0.070
2714400.000, 0.120
2718000.000, 0.130
2721600.000, 0.100
2725200.000, 0.050
2728800.000, -0.000
2732400.000, -0.040
2736000.000, -0.060
2739600.000, -0.070
2743200.000, -0.060
2746800.000, -0.050
2750400.000, -0.010
2754000.000, 0.040
2757600.000, 0.080
2761200.000, 0.100
